image_id,raw_image_path,processed_image_path,thumbnail_path,source_root,split,filename,material_type,script_family,is_manuscript,notes
1,data\raw\manuscripts\01.jpg,data\processed\images_1024\01.jpg,data\processed\thumbnails\01.jpg,,,01.jpg,,,,auto: needs manual review
2,data\raw\manuscripts\02.jpg,data\processed\images_1024\02.jpg,data\processed\thumbnails\02.jpg,,,02.jpg,,,,auto: needs manual review
3,data\raw\manuscripts\03.jpg,data\processed\images_1024\03.jpg,data\processed\thumbnails\03.jpg,,,03.jpg,,,,auto: needs manual review
4,data\raw\manuscripts\04.jpg,data\processed\images_1024\04.jpg,data\processed\thumbnails\04.jpg,,,04.jpg,,,,auto: needs manual review
5,data\raw\manuscripts\05.jpg,data\processed\images_1024\05.jpg,data\processed\thumbnails\05.jpg,,,05.jpg,,,,auto: needs manual review
6,data\raw\manuscripts\06.jpg,data\processed\images_1024\06.jpg,data\processed\thumbnails\06.jpg,,,06.jpg,,,,auto: needs manual review
7,data\raw\manuscripts\07.jpg,data\processed\images_1024\07.jpg,data\processed\thumbnails\07.jpg,,,07.jpg,,,,auto: needs manual review
8,data\raw\manuscripts\08.jpg,data\processed\images_1024\08.jpg,data\processed\thumbnails\08.jpg,,,08.jpg,,,,auto: needs manual review
9,data\raw\manuscripts\09.jpg,data\processed\images_1024\09.jpg,data\processed\thumbnails\09.jpg,,,09.jpg,,,,auto: needs manual review
10,data\raw\manuscripts\10.jpg,data\processed\images_1024\10.jpg,data\processed\thumbnails\10.jpg,,,10.jpg,,,,auto: needs manual review
11,data\raw\manuscripts\11.jpg,data\processed\images_1024\11.jpg,data\processed\thumbnails\11.jpg,,,11.jpg,,,,auto: needs manual review
12,data\raw\manuscripts\1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,data\processed\images_1024\1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,data\processed\thumbnails\1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,,,1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,,,,auto: needs manual review
13,data\raw\manuscripts\1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,data\processed\images_1024\1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,data\processed\thumbnails\1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,,,1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,,,,auto: needs manual review
14,data\raw\manuscripts\800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,data\processed\images_1024\800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,data\processed\thumbnails\800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,,,800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,,,,auto: needs manual review
15,data\raw\manuscripts\Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,data\processed\images_1024\Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,data\processed\thumbnails\Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,,,Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,,,,auto: needs manual review
16,data\raw\manuscripts\Image-2-Bhagavad-Gita-1024x728.jpg,data\processed\images_1024\Image-2-Bhagavad-Gita-1024x728.jpg,data\processed\thumbnails\Image-2-Bhagavad-Gita-1024x728.jpg,,,Image-2-Bhagavad-Gita-1024x728.jpg,,,,auto: needs manual review
17,data\raw\manuscripts\Indian_manuscript_2C_Devanagari_script_on_paper.jpg,data\processed\images_1024\Indian_manuscript_2C_Devanagari_script_on_paper.jpg,data\processed\thumbnails\Indian_manuscript_2C_Devanagari_script_on_paper.jpg,,,Indian_manuscript_2C_Devanagari_script_on_paper.jpg,,,,auto: needs manual review
18,data\raw\manuscripts\manuscri01.PNG,data\processed\images_1024\manuscri01.PNG,data\processed\thumbnails\manuscri01.PNG,,,manuscri01.PNG,,,,auto: needs manual review
19,data\raw\manuscripts\manuscri02.PNG,data\processed\images_1024\manuscri02.PNG,data\processed\thumbnails\manuscri02.PNG,,,manuscri02.PNG,,,,auto: needs manual review
20,data\raw\manuscripts\manuscri03.PNG,data\processed\images_1024\manuscri03.PNG,data\processed\thumbnails\manuscri03.PNG,,,manuscri03.PNG,,,,auto: needs manual review
21,data\raw\manuscripts\manuscri04.PNG,data\processed\images_1024\manuscri04.PNG,data\processed\thumbnails\manuscri04.PNG,,,manuscri04.PNG,,,,auto: needs manual review
22,data\raw\manuscripts\manuscri05.PNG,data\processed\images_1024\manuscri05.PNG,data\processed\thumbnails\manuscri05.PNG,,,manuscri05.PNG,,,,auto: needs manual review
23,data\raw\manuscripts\manuscri06.PNG,data\processed\images_1024\manuscri06.PNG,data\processed\thumbnails\manuscri06.PNG,,,manuscri06.PNG,,,,auto: needs manual review
24,data\raw\manuscripts\manuscri07.PNG,data\processed\images_1024\manuscri07.PNG,data\processed\thumbnails\manuscri07.PNG,,,manuscri07.PNG,,,,auto: needs manual review
25,data\raw\manuscripts\manuscri08.PNG,data\processed\images_1024\manuscri08.PNG,data\processed\thumbnails\manuscri08.PNG,,,manuscri08.PNG,,,,auto: needs manual review
26,data\raw\manuscripts\manuscri09.PNG,data\processed\images_1024\manuscri09.PNG,data\processed\thumbnails\manuscri09.PNG,,,manuscri09.PNG,,,,auto: needs manual review
27,data\raw\manuscripts\manuscri10.PNG,data\processed\images_1024\manuscri10.PNG,data\processed\thumbnails\manuscri10.PNG,,,manuscri10.PNG,,,,auto: needs manual review
28,data\raw\manuscripts\manuscri100.PNG,data\processed\images_1024\manuscri100.PNG,data\processed\thumbnails\manuscri100.PNG,,,manuscri100.PNG,,,,auto: needs manual review
29,data\raw\manuscripts\manuscri101.PNG,data\processed\images_1024\manuscri101.PNG,data\processed\thumbnails\manuscri101.PNG,,,manuscri101.PNG,,,,auto: needs manual review
30,data\raw\manuscripts\manuscri102.PNG,data\processed\images_1024\manuscri102.PNG,data\processed\thumbnails\manuscri102.PNG,,,manuscri102.PNG,,,,auto: needs manual review
31,data\raw\manuscripts\manuscri103.PNG,data\processed\images_1024\manuscri103.PNG,data\processed\thumbnails\manuscri103.PNG,,,manuscri103.PNG,,,,auto: needs manual review
32,data\raw\manuscripts\manuscri104.PNG,data\processed\images_1024\manuscri104.PNG,data\processed\thumbnails\manuscri104.PNG,,,manuscri104.PNG,,,,auto: needs manual review
33,data\raw\manuscripts\manuscri105.PNG,data\processed\images_1024\manuscri105.PNG,data\processed\thumbnails\manuscri105.PNG,,,manuscri105.PNG,,,,auto: needs manual review
