data_type,date_end_ce,date_start_ce,filename,folio_id,image_id,manuscript_id,material_type,processed_image_path,raw_image_path,script_family,source_root,split,text_file_path,thumbnail_path,work_title
image,,,01.jpg,FOLIO_000001,1,nan_000001,,data\processed\images_1024\01.jpg,data\raw\manuscripts\01.jpg,,,,,data\processed\thumbnails\01.jpg,
image,,,02.jpg,FOLIO_000002,2,nan_000002,,data\processed\images_1024\02.jpg,data\raw\manuscripts\02.jpg,,,,,data\processed\thumbnails\02.jpg,
image,,,03.jpg,FOLIO_000003,3,nan_000003,,data\processed\images_1024\03.jpg,data\raw\manuscripts\03.jpg,,,,,data\processed\thumbnails\03.jpg,
image,,,04.jpg,FOLIO_000004,4,nan_000004,,data\processed\images_1024\04.jpg,data\raw\manuscripts\04.jpg,,,,,data\processed\thumbnails\04.jpg,
image,,,05.jpg,FOLIO_000005,5,nan_000005,,data\processed\images_1024\05.jpg,data\raw\manuscripts\05.jpg,,,,,data\processed\thumbnails\05.jpg,
image,,,06.jpg,FOLIO_000006,6,nan_000006,,data\processed\images_1024\06.jpg,data\raw\manuscripts\06.jpg,,,,,data\processed\thumbnails\06.jpg,
image,,,07.jpg,FOLIO_000007,7,nan_000007,,data\processed\images_1024\07.jpg,data\raw\manuscripts\07.jpg,,,,,data\processed\thumbnails\07.jpg,
image,,,08.jpg,FOLIO_000008,8,nan_000008,,data\processed\images_1024\08.jpg,data\raw\manuscripts\08.jpg,,,,,data\processed\thumbnails\08.jpg,
image,,,09.jpg,FOLIO_000009,9,nan_000009,,data\processed\images_1024\09.jpg,data\raw\manuscripts\09.jpg,,,,,data\processed\thumbnails\09.jpg,
image,,,10.jpg,FOLIO_000010,10,nan_000010,,data\processed\images_1024\10.jpg,data\raw\manuscripts\10.jpg,,,,,data\processed\thumbnails\10.jpg,
image,,,11.jpg,FOLIO_000011,11,nan_000011,,data\processed\images_1024\11.jpg,data\raw\manuscripts\11.jpg,,,,,data\processed\thumbnails\11.jpg,
image,,,1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,FOLIO_000012,12,nan_000012,,data\processed\images_1024\1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,data\raw\manuscripts\1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,,,,,data\processed\thumbnails\1280px-A_palm_leaf_Sanskrit_manuscript_in_Brahmi_script_from_Miran_China.jpg,
image,,,1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,FOLIO_000013,13,nan_000013,,data\processed\images_1024\1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,data\raw\manuscripts\1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,,,,,data\processed\thumbnails\1500-1200_BCE_2C_Rigveda_manuscript_page_sample_v_2C_Sanskrit_2C_Devanagari.jpg,
image,,,800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,FOLIO_000014,14,nan_000014,,data\processed\images_1024\800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,data\raw\manuscripts\800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,,,,,data\processed\thumbnails\800px-Devimahatmya_Sanskrit_MS_Nepal_11c.jpg,
image,,,Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,FOLIO_000015,15,nan_000015,,data\processed\images_1024\Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,data\raw\manuscripts\Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,,,,,data\processed\thumbnails\Folio_from_a_Ramayana_manuscript_2C_text_in_Devanagari.jpg,
image,,,Image-2-Bhagavad-Gita-1024x728.jpg,FOLIO_000016,16,nan_000016,,data\processed\images_1024\Image-2-Bhagavad-Gita-1024x728.jpg,data\raw\manuscripts\Image-2-Bhagavad-Gita-1024x728.jpg,,,,,data\processed\thumbnails\Image-2-Bhagavad-Gita-1024x728.jpg,
image,,,Indian_manuscript_2C_Devanagari_script_on_paper.jpg,FOLIO_000017,17,nan_000017,,data\processed\images_1024\Indian_manuscript_2C_Devanagari_script_on_paper.jpg,data\raw\manuscripts\Indian_manuscript_2C_Devanagari_script_on_paper.jpg,,,,,data\processed\thumbnails\Indian_manuscript_2C_Devanagari_script_on_paper.jpg,
image,,,manuscri01.PNG,FOLIO_000018,18,nan_000018,,data\processed\images_1024\manuscri01.PNG,data\raw\manuscripts\manuscri01.PNG,,,,,data\processed\thumbnails\manuscri01.PNG,
image,,,manuscri02.PNG,FOLIO_000019,19,nan_000019,,data\processed\images_1024\manuscri02.PNG,data\raw\manuscripts\manuscri02.PNG,,,,,data\processed\thumbnails\manuscri02.PNG,
image,,,manuscri03.PNG,FOLIO_000020,20,nan_000020,,data\processed\images_1024\manuscri03.PNG,data\raw\manuscripts\manuscri03.PNG,,,,,data\processed\thumbnails\manuscri03.PNG,
image,,,manuscri04.PNG,FOLIO_000021,21,nan_000021,,data\processed\images_1024\manuscri04.PNG,data\raw\manuscripts\manuscri04.PNG,,,,,data\processed\thumbnails\manuscri04.PNG,
image,,,manuscri05.PNG,FOLIO_000022,22,nan_000022,,data\processed\images_1024\manuscri05.PNG,data\raw\manuscripts\manuscri05.PNG,,,,,data\processed\thumbnails\manuscri05.PNG,
